,Model,Average Score,Standard diviation
0,Random Forest,0.7918877674419329,0.013363695773831643
1,Gradient Boosting,0.6448407996669037,0.01963064140302657
2,Linear SVM,0.3892718595101018,0.03098447906527059
3,Nearest Neighbors,0.5725008478900524,0.04604780966644407
4,Decision Tree,0.6273419638533158,0.09851432365418593
5,Linear Regression,0.1605424351222104,0.014620203747416715
6,Ridge Regression,0.1606892760798087,0.014524652760825247
7,Neural Network,0.501156360449311,0.057302061154539695
